,keyword_id,keyword
0,1701,hero
1,9663,sequel
2,9715,superhero
3,9717,based on comic
4,179431,duringcreditsstinger
5,180059,death of king
6,180547,marvel cinematic universe (mcu)
7,195394,hidden civilization
8,952,lightning
9,2095,anti hero
10,9715,superhero
11,9717,based on comic
12,15001,demon
13,155030,superhero team
14,179431,duringcreditsstinger
15,229266,dc extended universe
16,1295,europe
17,3023,eastern europe
18,244797,donbass war
19,252606,russian invasion of ukraine
20,257783,2010s
21,272265,ukraine
22,273967,war
23,294795,war in ukraine
24,301386,russo-ukrainian war
25,3199,clown
26,3335,halloween
27,6506,resurrection
28,9663,sequel
29,10292,gore
30,12339,slasher
31,15127,killer
32,176691,killer clown
33,179431,duringcreditsstinger
34,191327,evil clown
35,232795,halloween night
36,296359,graphic violence
37,306196,megaslasher
38,703,detective
39,8250,victorian england
40,9663,sequel
41,160342,female detective
42,273879,sherlock holmes
43,236,suicide
44,703,detective
45,2340,paranoia
46,2726,therapist
47,2754,trauma
48,10541,curse
49,11612,hospital
50,13005,doctor
51,41329,mental illness
52,156075,evil
53,157701,psychotic
54,241827,demonic
55,268132,based on short film
56,278807,ptsd
57,818,based on novel or book
58,2504,world war i
59,11117,tank
60,14643,battle
61,15060,period drama
62,191004,german soldier
63,210184,1910s
64,230333,aircraft
65,810,"budapest, hungary"
66,1462,samurai
67,6259,psychopath
68,6625,family secrets
69,9675,prequel
70,9826,murder
71,11062,impersonator
72,18409,mental patient
73,161814,psycho killer
74,173298,escaped mental patient
75,197430,missing daughter
76,210544,estonia
77,227855,female psychopath
78,209439,sport climbing
79,1415,small town
80,2286,border
81,156091,missing person
82,2710,fairy
83,4344,musical
84,6300,puppet
85,209220,live action and animation
86,245230,live action remake
87,267848,talking animals
88,302735,pinocchio
89,2157,hacker
90,241221,wild life
91,380,sibling relationship
92,616,witch
93,3335,halloween
94,5923,sister
95,6270,high school
96,6506,resurrection
97,9663,sequel
98,12377,zombie
99,33795,"salem, massachusetts"
100,179430,aftercreditsstinger
101,179431,duringcreditsstinger
